,Party,color
0,Bharatiya Janta Party,#FF9933
1,Indian National Congress,#19AAED
2,Dravida Munetra Kazhagam,#FF0D0D
3,Yuvajana Sramika Rythu Congress Party,#1569C7
4,All India Trinamool Congress,#20C646
5,Shiv Sena,#F37020
6,Janata Dal (United),#003366
7,Biju Janata Dal,#70A548
8,Bahujan Samaj Party,#22409A
9,Telangana Rashtra Samithi,#F84996
10,Lok Jan Shakti Party,#0093DD
11,Samajwadi Party,#FF2222
12,Nationalist Congress Party,#00B2B2
13,Independent,#DCDCDC
14,Telugu Desam,#fffb01
15,Indian Union Muslim League,#006600
16,Communist Party Of India (Marxist),#FF1D15
17,Jammu & Kashmir National Conference,#fe0000
18,All India Majlis-E-Ittehadul Muslimeen,#0c6b4b
19,Shiromani Akali Dal,#0F204A
20,Apna Dal (Soneylal),#e0e0ca
21,Communist Party Of India,#e70d21
22,Rashtriya Loktantrik Party,#FFD42A
23,Viduthalai Chiruthaigal Katchi,#1E90FF
24,Sikkim Krantikari Morcha,#ED1E26
25,Revolutionary Socialist Party,#FF4A4A
26,Mizo National Front,#2E5694
27,Nationalist Democratic Progressive Party,#ED1B24
28,National People's Party,#FFCA61
29,Naga Peoples Front,#1717CC
30,Kerala Congress(M),#da0101
31,Jharkhand Mukti Morcha,#337316
32,All India Anna Dravida Munnetra Kazhagam,#009546
33,Janata Dal (Secular),#02865A
34,All India United Democratic Front,#348017
35,All Jharkhand Students Union,#6827B5
36,Aam Aadmi Party,#0072B0
37,Rashtriya Lok Samta Party,#1e57a6
38,Jammu & Kashmir Peoples Democratic Party,#256905
39,Rashtriya Janata Dal,#007600
40,Indian National Lok Dal,#004c3d
41,Apna Dal,#f76905
42,Pattali Makkal Katchi,#f90f0f
43,Sikkim Democratic Front,#000090
44,Swabhimani Paksha,#e3292c
45,All India N.R. Congress,#f8d505
46,NDA,#FF9933
47,UPA,#19AAED
48,No alliance,#DCDCDC
